0.00000000,0.94110493
0.08726646,1.24927017
0.17453293,0.48788214
0.26179939,1.39341479
0.34906585,1.23613207
0.43633231,1.18079268
0.52359878,0.62803404
0.61086524,0.63274330
0.69813170,0.69240763
0.78539816,0.77874936
0.87266463,0.61217170
0.95993109,0.76019849
1.04719755,0.10211375
1.13446401,0.43818631
1.22173048,0.09156638
1.30899694,0.14695282
1.39626340,0.26008401
1.48352986,0.03021123
1.57079633,0.20095548
1.65806279,0.16867807
1.74532925,0.05329543
1.83259571,-0.56037322
1.91986218,-0.55074462
2.00712864,-0.57291832
2.09439510,-0.80980919
2.18166156,-1.29161050
2.26892803,-0.46273463
2.35619449,-0.64320241
2.44346095,-1.22995347
2.53072742,-1.29238889
2.61799388,-0.86528096
2.70526034,-1.06471682
2.79252680,-0.94551208
2.87979327,-0.95654188
2.96705973,-1.17291373
3.05432619,-1.00827478
3.14159265,-1.29204982
3.22885912,-1.02154183
3.31612558,-0.84828809
3.40339204,-0.88999677
3.49065850,-0.90222309
